hotel_city,hotel_name,hotel_star,hotel_district,hotel_address,hotel_languages,hotel_bbox,hotel_coordinates
Tbilisi,Nona's house near Dry Bridge,0,"Mtatsminda , Tbilisi City","11/16 Mari Brose Street, Mtatsminda , 0108 Tbilisi City, Georgia","Russian, Georgian","[('41.6859511723086', '44.7820410006638'), ('41.7170441478112', '44.8169438829421')]","(41.7014976600599, 44.799492441803)"
Tbilisi,Apartment Ruso on Tsavkisi Street,0,Tbilisi City,"12 Tsavkisi Street, 0105 Tbilisi City, Georgia","Russian, English","[('41.6819023609954', '44.7535109281773'), ('41.6990183460763', '44.8263918841258')]","(41.6904603535358, 44.7899514061515)"
Tbilisi,Apartment Irma,0,Tbilisi City,"Ekimi Lane Vrachiebnyi proiezd 3, kvartira 119, 0144 Tbilisi City, Georgia","Russian, English","[('41.6615957797034', '44.801584'), ('41.705366', '44.8819072896156')]","(41.6834808898517, 44.8417456448078)"
Tbilisi,Beautiful Apartment in Tbilisi,0,"Vera, Tbilisi City","3-3a Iakob Nikoladze Street, Vera, 0179 Tbilisi City, Georgia","Russian, Georgian, English","[('41.683863929318', '44.7419564541'), ('41.737406870682', '44.8234815459')]","(41.7106354, 44.782719)"
Tbilisi,El Centro De Tbilisi,0,"Vera, Tbilisi City","46-50 Merab Kostava Street, Vera, 0179 Tbilisi City, Georgia","Russian, Georgian, English","[('41.6877484693429', '44.740614'), ('41.731264', '44.8285267632294')]","(41.7095062346714, 44.7845703816147)"
Tbilisi,Apartment Apollo,0,"Chugureti, Tbilisi City","Davit Aghmashenebeli Avenue 146, Chugureti, 0102 Tbilisi City, Georgia","Russian, English","[('41.6880979941868', '44.7700211725492'), ('41.7421402058132', '44.8164720274508')]","(41.7151191, 44.7932466)"
Tbilisi,Boutique Hotel Avlabar,0,"Avlabari, Tbilisi City","38 Irakli Paghava Street, Avlabari, 0102 Tbilisi City, Georgia","Russian, Georgian, English","[('41.6804329876562', '44.7929441928864'), ('41.703379585276', '44.8439632469558')]","(41.6919062864661, 44.8184537199211)"
Tbilisi,Apartment Izabella,0,"Avlabari, Tbilisi City","8 Khidistavi street, Avlabari, 0103 Tbilisi City, Georgia","Russian, Georgian, Hebrew, English, German","[('41.683615', '44.7871559858322'), ('41.7052322281347', '44.8398973952271')]","(41.6944236140674, 44.8135266905297)"
Tbilisi,Two Bedroom Apartment,0,"Mtatsminda , Tbilisi City","Lado Gudiashvili St 9, Floor 3, Mtatsminda , 1234 Tbilisi City, Georgia","Russian, English","[('41.6898305747385', '44.786975'), ('41.7049347926098', '44.8144756490738')]","(41.6973826836741, 44.8007253245369)"
Tbilisi,Elizabed,0,Tbilisi City,"Viktor Kupradze Street Hualing Tbilisi Sea Plaza, 27th building, 3 entrance, 11th floor, 115, 0163 Tbilisi City, Georgia","Russian, Georgian, English","[('41.6737997653286', '44.7845703816147'), ('41.7095062346714', '44.9552836183853')]","(41.691653, 44.869927)"
Tbilisi,Central Loft,0,"Chugureti, Tbilisi City","20 Gogoli street, Chugureti, 0105 Tbilisi City, Georgia","Russian, Georgian, English","[('41.6773753857457', '44.7778514027596'), ('41.7615386142543', '44.8189045972404')]","(41.719457, 44.798378)"
Tbilisi,Ann's Apartment,0,"Saburtalo, Tbilisi City","Vazha Pshavela Avenue 17 building, 3 floor, apartment 19, Saburtalo, 0160 Tbilisi City, Georgia","Russian, Georgian, English","[('41.6771790969572', '44.694079644978'), ('41.777946448713', '44.8318496346474')]","(41.7275627728351, 44.7629646398127)"
Tbilisi,Freedom Square Apartment,0,Tbilisi City,"Shalva Dadiani Street 9 Shalva Dadiani Street 9   flat 7, 0105 Tbilisi City, Georgia","Russian, Georgian, English","[('41.6593371118919', '44.724408'), ('41.7238148881081', '44.879312')]","(41.691576, 44.80186)"
